time,code,name,start_date,end_date,status,rows,reason
2026-06-18 21:30:05,000558,天府文旅,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:05,000567,海德股份,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:05,000559,万向钱潮,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:05,000560,我爱我家,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:05,000561,烽火电子,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:05,000568,泸州老窖,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:05,000570,苏常柴A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:05,000571,新大洲A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:05,000563,陕国投A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:05,000564,供销大集,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:05,000572,海马汽车,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:05,000573,粤宏远A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:05,000565,渝三峡A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:06,000566,海南海药,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:06,000576,甘化科工,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:06,000567,海德股份,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:06,000581,威孚高科,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:06,000568,泸州老窖,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:06,000582,北部湾港,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:06,000571,新大洲A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:06,000570,苏常柴A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:06,000586,汇源通信,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:06,000589,贵州轮胎,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:06,000572,海马汽车,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:06,000590,古汉医药,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:06,000591,太阳能,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:06,000573,粤宏远A,2026-06-18,2026-06-18,updated,1,
