rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
36,71.32600513506887,61.01381162156494,600939,重庆建工,bottom_area,2025-11-24,3.55,2025-11-21,3.5,1.4285714285714235,4.571428571428576,27.23492723492723,False,1.1396,1.4533,1,3,1,33.33333333333333,31.277533039647576,31.277533039647576,18.571428571428577,1.4285714285714235,历史1/3次成功; 当前距低点1.43%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
37,71.058642922854,62.6615032722089,603127,昭衍新药,bottom_area,2025-11-24,27.67,2025-11-21,26.84,3.0923994038748206,5.923994038748137,29.33122696155871,False,0.9854,1.6395,1,2,1,50.0,41.08695652173912,41.08695652173912,16.90760059612518,3.0923994038748206,历史1/2次成功; 当前距低点3.09%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
38,70.95588532374067,61.949298751200764,002017,东信和平,bottom_area,2025-11-24,21.35,2025-11-24,20.82,2.5456292026897267,2.785782901056668,27.88361621059924,False,2.1531,2.2916,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,17.454370797310276,2.5456292026897267,历史1/3次成功; 当前距低点2.55%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
39,70.633225568126,58.86102130677167,000572,海马汽车,bottom_area,2025-11-24,8.51,2025-11-24,8.51,0.0,14.218566392479445,29.260182876142977,False,-9.9471,20.0744,3,7,3,42.857142857142854,49.67522975990913,95.5116696588869,20.0,0.0,历史3/7次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
40,70.08313915553475,60.740846265374756,002578,闽发铝业,bottom_area,2025-11-24,3.81,2025-11-21,3.73,2.1447721179624684,9.651474530831097,30.410447761194032,False,2.1448,7.6116,1,3,1,33.33333333333333,38.589211618257245,38.589211618257245,17.855227882037532,2.1447721179624684,历史1/3次成功; 当前距低点2.14%; 最新日涨幅2.14%; 状态bottom_area; 底部未确认
41,69.96214710847741,62.154021848533205,688286,敏芯股份,bottom_area,2025-11-24,73.95,2025-11-21,71.45,3.498950314905528,4.89853044086774,28.39963924240906,False,2.5659,2.1384,3,7,3,42.857142857142854,25.484946210157112,30.759999999999994,16.501049685094475,3.498950314905528,历史3/7次成功; 当前距低点3.50%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
42,69.34721699314785,60.29216050064612,603197,保隆科技,bottom_area,2025-11-24,34.89,2025-11-21,34.1,2.3167155425219916,2.6099706744868048,27.431368376250266,False,1.4244,1.063,2,6,2,33.33333333333333,21.617949485284576,23.07435811937312,17.68328445747801,2.3167155425219916,历史2/6次成功; 当前距低点2.32%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
43,69.2479076432246,59.91944199706312,000803,山高环能,bottom_area,2025-11-24,6.95,2025-11-24,6.81,2.0558002936857647,4.258443465491924,28.98852971845673,False,-0.2869,3.0273,1,2,1,50.0,36.1111111111111,36.1111111111111,17.944199706314237,2.0558002936857647,历史1/2次成功; 当前距低点2.06%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
44,69.15899069837413,60.48716713314675,002678,珠江钢琴,bottom_area,2025-11-24,5.05,2025-11-03,4.92,2.6422764227642253,7.113821138211375,29.613733905579405,True,1.2024,1.0637,1,4,1,25.0,35.5191256830601,35.5191256830601,17.357723577235777,2.6422764227642253,历史1/4次成功; 当前距低点2.64%; 最新日涨幅1.20%; 状态bottom_area; 底部已确认
45,68.59473280394202,57.807185080928924,600104,上汽集团,bottom_area,2025-11-24,14.79,2025-11-21,14.7,0.6122448979591828,1.9047619047619126,28.74454677653902,False,0.6122,0.3589,1,2,1,50.0,24.425287356321842,24.425287356321842,19.387755102040817,0.6122448979591828,历史1/2次成功; 当前距低点0.61%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
