rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
89,71.21683192340484,69.21072398190047,000897,津滨发展,bottom_area,2024-07-04,2.07,2024-06-25,2.0,3.499999999999992,8.499999999999996,29.824561403508774,True,-3.271,1.881,1,1,1,100.0,13.122171945701359,13.122171945701359,6.500000000000009,3.499999999999992,历史1/1次成功; 当前距低点3.50%; 最新日涨幅-3.27%; 状态bottom_area; 底部已确认
90,70.9639071978436,70.49394754752676,600162,香江控股,confirmed_rebound,2024-07-04,1.35,2024-06-24,1.29,4.651162790697678,10.852713178294564,32.81249999999999,True,-4.2553,0.7166,2,2,2,100.0,27.68063822751323,28.90624999999999,5.348837209302322,4.651162790697678,历史2/2次成功; 当前距低点4.65%; 最新日涨幅-4.26%; 状态confirmed_rebound; 底部已确认
91,70.89525695759922,68.9587442758793,002208,合肥城建,confirmed_rebound,2024-07-04,4.38,2024-06-25,4.23,3.5460992907801288,10.165484633569733,28.42639593908629,True,-4.7826,0.9359,1,1,1,100.0,22.54758418740848,22.54758418740848,6.453900709219871,3.5460992907801288,历史1/1次成功; 当前距低点3.55%; 最新日涨幅-4.78%; 状态confirmed_rebound; 底部已确认
92,70.59010680115408,64.38659804991052,603060,国检集团,bottom_area,2024-07-04,5.75,2024-07-04,5.74,0.17421602787456072,3.1358885017421554,28.339575530586764,False,-2.5424,0.2185,2,3,2,66.66666666666666,24.124429713966915,36.2098138747885,9.825783972125441,0.17421602787456072,历史2/3次成功; 当前距低点0.17%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
93,69.31437208283813,63.22575931368743,002810,山东赫达,bottom_area,2024-07-04,11.35,2024-07-04,11.33,0.17652250661959024,4.148278905560464,32.75964391691395,False,-3.4043,0.852,2,3,2,66.66666666666666,28.126687968351778,46.13526570048308,9.82347749338041,0.17652250661959024,历史2/3次成功; 当前距低点0.18%; 最新日涨幅-3.40%; 状态bottom_area; 底部未确认
94,68.99732159301482,65.36103846703203,002555,三七互娱,bottom_area,2024-07-04,12.78,2024-06-25,12.51,2.158273381294961,6.7146282973621085,28.391528334287347,False,-2.4427,1.2554,2,3,2,66.66666666666666,13.845350052246609,16.78160919540231,7.8417266187050405,2.158273381294961,历史2/3次成功; 当前距低点2.16%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
95,68.51381913512918,63.31398936985985,000723,美锦能源,bottom_area,2024-07-04,4.7,2024-06-24,4.66,0.858369098712447,6.223175965665237,27.187500000000004,False,-2.4896,0.4747,2,3,2,66.66666666666666,26.74410886159975,30.434782608695667,9.141630901287554,0.858369098712447,历史2/3次成功; 当前距低点0.86%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
96,68.50806554443804,62.5571530712983,300689,澄天伟业,bottom_area,2024-07-04,12.93,2024-07-04,12.9,0.23255813953487878,4.26356589147286,32.38993710691823,False,-2.4151,3.6767,2,3,2,66.66666666666666,15.003865391242782,18.720602069614284,9.767441860465121,0.23255813953487878,历史2/3次成功; 当前距低点0.23%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
97,68.40166970162464,62.61176458908555,002218,拓日新能,bottom_area,2024-07-04,2.79,2024-06-25,2.78,0.3597122302158357,6.474820143884898,32.850241545893724,False,-3.4602,1.1757,2,3,2,66.66666666666666,27.07119251242463,39.04109589041095,9.640287769784164,0.3597122302158357,历史2/3次成功; 当前距低点0.36%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
98,68.29314007156852,62.55052967488827,002326,永太科技,bottom_area,2024-07-04,7.69,2024-06-26,7.66,0.3916449086161912,6.2663185378590125,27.393364928909957,False,-3.2704,0.827,2,3,2,66.66666666666666,27.133405375626396,29.837587006960554,9.608355091383808,0.3916449086161912,历史2/3次成功; 当前距低点0.39%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
99,68.28677683501087,63.13266727698792,300769,德方纳米,confirmed_rebound,2024-07-04,27.45,2024-06-26,27.21,0.8820286659316371,10.694597574421168,27.323717948717942,True,-3.1746,2.5298,4,6,4,66.66666666666666,20.629171874437542,41.300000000000004,9.117971334068363,0.8820286659316371,历史4/6次成功; 当前距低点0.88%; 最新日涨幅-3.17%; 状态confirmed_rebound; 底部已确认
100,68.03782837572213,62.791537994943546,300693,盛弘股份,bottom_area,2024-07-04,19.15,2024-07-04,19.0,0.7894736842105189,4.684210526315793,31.99713672154617,False,-2.9889,3.5377,3,5,3,60.0,20.868483843782425,36.12334801762114,9.210526315789481,0.7894736842105189,历史3/5次成功; 当前距低点0.79%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
101,67.15411222878105,62.1680456253283,600933,爱柯迪,bottom_area,2024-07-04,13.79,2024-07-04,13.66,0.9516837481698317,4.245973645680821,31.90428713858424,False,-1.4296,1.0356,2,3,2,66.66666666666666,21.726977981122847,24.722838137472287,9.048316251830169,0.9516837481698317,历史2/3次成功; 当前距低点0.95%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
102,66.67248907924873,61.28570519337566,000002,万科A,bottom_area,2024-07-04,6.94,2024-07-01,6.9,0.5797101449275368,6.521739130434772,30.44354838709677,False,-3.0726,1.5122,2,3,2,66.66666666666666,22.638589554536463,28.255902513328245,9.420289855072465,0.5797101449275368,历史2/3次成功; 当前距低点0.58%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
103,66.50222644230355,61.01299957014847,300558,贝达药业,bottom_area,2024-07-04,31.4,2024-07-04,31.25,0.47999999999999543,4.575999999999999,30.120751341681572,False,-3.4143,1.1169,2,3,2,66.66666666666666,19.95017690043977,25.688589094997194,9.520000000000005,0.47999999999999543,历史2/3次成功; 当前距低点0.48%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
104,66.0442945998002,60.193079068052036,300601,康泰生物,bottom_area,2024-07-04,15.04,2024-07-04,15.02,0.13315579227696123,4.327563249001335,30.687586525149985,False,-3.466,0.9308,2,3,2,66.66666666666666,11.290363482671175,11.580726965342352,9.86684420772304,0.13315579227696123,历史2/3次成功; 当前距低点0.13%; 最新日涨幅-3.47%; 状态bottom_area; 底部未确认
105,64.88827493302975,60.03189367113482,688262,国芯科技,bottom_area,2024-07-04,15.39,2024-07-04,15.25,0.9180327868852496,5.508196721311474,30.460556315549475,False,-3.2684,2.2024,2,3,2,66.66666666666666,20.044848164336123,27.063197026022312,9.081967213114751,0.9180327868852496,历史2/3次成功; 当前距低点0.92%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
106,64.50377868184624,58.64564771364725,688111,金山办公,bottom_area,2024-07-04,191.42,2024-07-04,191.41,0.005224387440567841,4.268324538947817,30.0606547793043,False,-3.3964,0.8234,2,4,2,50.0,20.84709310221366,27.68058076225045,9.994775612559433,0.005224387440567841,历史2/4次成功; 当前距低点0.01%; 最新日涨幅-3.40%; 状态bottom_area; 底部未确认
107,63.637922221011486,60.709164931006555,301388,欣灵电气,confirmed_rebound,2024-07-04,24.75,2024-07-04,24.14,2.526926263463129,10.604805302402646,32.0,False,-8.9739,45.6218,2,3,2,66.66666666666666,13.78435561847213,15.745856353591147,7.473073736536871,2.526926263463129,历史2/3次成功; 当前距低点2.53%; 最新日涨幅-8.97%; 状态confirmed_rebound; 底部未确认
108,63.58861053403393,60.85628742514968,600186,莲花控股,bottom_area,2024-07-04,3.43,2024-06-24,3.34,2.694610778443123,7.4850299401197615,27.074235807860266,True,-3.1073,1.4012,1,2,1,50.0,53.49544072948328,53.49544072948328,7.305389221556878,2.694610778443123,历史1/2次成功; 当前距低点2.69%; 最新日涨幅-3.11%; 状态bottom_area; 底部已确认
109,62.97191613174385,57.83135154956067,688161,威高骨科,bottom_area,2024-07-04,18.9,2024-07-04,18.8,0.5319148936170099,6.2234042553191395,31.486880466472307,False,-4.6899,0.2791,2,4,2,50.0,22.925362940900264,33.591836734693864,9.468085106382992,0.5319148936170099,历史2/4次成功; 当前距低点0.53%; 最新日涨幅-4.69%; 状态bottom_area; 底部未确认
110,60.16597093540304,55.36745791601507,605178,时空科技,bottom_area,2024-07-04,12.6,2024-07-04,12.52,0.6389776357827481,7.268370607028755,31.359649122807014,False,-6.1802,9.0687,2,4,2,50.0,10.991004976342687,11.97247706422018,9.361022364217252,0.6389776357827481,历史2/4次成功; 当前距低点0.64%; 最新日涨幅-6.18%; 状态bottom_area; 底部未确认
111,59.28851406237458,54.13596367368516,601966,玲珑轮胎,bottom_area,2024-07-04,17.42,2024-07-04,17.38,0.2301495972382204,3.337169159953981,29.777777777777782,False,-1.8038,0.746,1,2,1,50.0,22.476907287033857,22.476907287033857,9.76985040276178,0.2301495972382204,历史1/2次成功; 当前距低点0.23%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
