rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
33,71.8579937033979,65.94299486479022,002123,梦网科技,bottom_area,2025-04-03,14.27,2025-04-03,14.2,0.49295774647887525,3.5211267605633805,30.630190522716173,False,-2.5273,3.5571,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,9.507042253521124,0.49295774647887525,历史2/3次成功; 当前距低点0.49%; 最新日涨幅-2.53%; 状态bottom_area; 底部未确认
34,69.92266786163417,64.34103254611911,002369,卓翼科技,bottom_area,2025-04-03,9.51,2025-04-03,9.45,0.6349206349206402,4.021164021164029,27.251732101616632,False,-3.4518,5.8239,4,6,4,66.66666666666666,23.075187779954284,46.84014869888477,9.36507936507936,0.6349206349206402,历史4/6次成功; 当前距低点0.63%; 最新日涨幅-3.45%; 状态bottom_area; 底部未确认
35,68.75616822049741,66.80060642615656,000757,浩物股份,bottom_area,2025-04-03,3.86,2025-03-31,3.73,3.4852546916890055,5.361930294906172,28.952380952380953,False,-0.2584,3.052,2,3,2,66.66666666666666,37.851185250219494,52.941176470588246,6.514745308310996,3.4852546916890055,历史2/3次成功; 当前距低点3.49%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
36,67.9728682511103,65.3802049513167,600960,渤海汽车,bottom_area,2025-04-03,3.48,2025-03-31,3.38,2.9585798816568074,5.917159763313615,30.737704918032787,False,-0.5714,2.0316,2,4,2,50.0,43.20304882523773,69.9604743083004,7.0414201183431935,2.9585798816568074,历史2/4次成功; 当前距低点2.96%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
37,67.61162337133013,66.48404969611101,688111,金山办公,bottom_area,2025-04-03,304.48,2025-03-31,292.44,4.117083846259069,5.286554506907393,27.251921689594273,False,2.2225,1.086,3,5,3,60.0,19.198929384847716,27.68058076225045,5.882916153740932,4.117083846259069,历史3/5次成功; 当前距低点4.12%; 最新日涨幅2.22%; 状态bottom_area; 底部未确认
38,66.96679476072053,66.31221070653584,300608,思特奇,confirmed_rebound,2025-04-03,11.65,2025-03-31,11.15,4.484304932735426,11.479820627802685,27.456083279115152,True,-2.592,3.627,3,4,3,75.0,13.771107275121553,16.384180790960464,5.515695067264574,4.484304932735426,历史3/4次成功; 当前距低点4.48%; 最新日涨幅-2.59%; 状态confirmed_rebound; 底部已确认
39,66.2685882610585,64.37857504862188,000890,法尔胜,bottom_area,2025-04-03,3.27,2025-03-31,3.16,3.4810126582278436,5.379746835443036,27.853881278538807,False,0.0,2.2715,2,4,2,50.0,21.748838222480394,32.954545454545446,6.518987341772156,3.4810126582278436,历史2/4次成功; 当前距低点3.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
40,64.60254006491502,63.43347681453149,300746,汉嘉数智,bottom_area,2025-04-03,12.1,2025-03-31,11.63,4.041272570937221,5.4170249355115985,27.584059775840586,False,-0.4934,1.3978,2,3,2,66.66666666666666,26.564040911837,36.90896259703598,5.95872742906278,4.041272570937221,历史2/3次成功; 当前距低点4.04%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
41,64.15373960195298,59.53721739734594,002599,盛通股份,bottom_area,2025-04-03,9.35,2025-03-31,9.25,1.0810810810810774,6.162162162162165,31.53219837157661,False,-2.9076,4.0259,1,2,1,50.0,22.107969151670947,22.107969151670947,8.918918918918923,1.0810810810810774,历史1/2次成功; 当前距低点1.08%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
42,63.264588211529095,59.05498678453446,300676,华大基因,bottom_area,2025-04-03,51.92,2025-03-31,51.21,1.3864479593829346,6.22925209919937,27.155049786628734,False,-2.5526,0.9926,1,2,1,50.0,23.258538343696497,23.258538343696497,8.613552040617066,1.3864479593829346,历史1/2次成功; 当前距低点1.39%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
43,62.78718578591401,60.41712493632196,002329,皇氏集团,bottom_area,2025-04-03,3.11,2025-04-03,3.02,2.980132450331121,6.95364238410596,27.05314009661835,False,0.0,16.2672,1,2,1,50.0,27.644230769230756,27.644230769230756,7.019867549668879,2.980132450331121,历史1/2次成功; 当前距低点2.98%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
44,61.666134129469995,56.7244913267698,000555,神州信息,bottom_area,2025-04-03,11.41,2025-04-03,11.34,0.6172839506172865,3.703703703703703,29.080675422138842,False,-2.3952,2.588,1,2,1,50.0,41.139240506329116,41.139240506329116,9.382716049382713,0.6172839506172865,历史1/2次成功; 当前距低点0.62%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
45,60.57967032692124,60.20093729056508,000710,贝瑞基因,confirmed_rebound,2025-04-03,13.67,2025-03-31,13.06,4.670750382848388,11.408882082695254,31.443569553805773,True,-0.942,5.9739,3,5,3,60.0,15.70025894333007,17.3469387755102,5.329249617151613,4.670750382848388,历史3/5次成功; 当前距低点4.67%; 最新日涨幅-0.94%; 状态confirmed_rebound; 底部已确认
46,60.43872826877715,59.640358777186734,300671,富满微,confirmed_rebound,2025-04-03,27.64,2025-03-31,26.5,4.301886792452833,14.943396226415098,30.023765513599148,False,-0.504,2.031,2,3,2,66.66666666666666,19.580612888777,20.266753415744958,5.698113207547167,4.301886792452833,历史2/3次成功; 当前距低点4.30%; 最新日涨幅-0.50%; 状态confirmed_rebound; 底部未确认
47,59.21149197925598,55.72431282497998,002335,科华数据,bottom_area,2025-04-03,42.65,2025-03-31,41.89,1.8142754834089232,6.922893291955116,27.53848815083896,False,-2.2686,4.6081,1,2,1,50.0,10.596026490066222,10.596026490066222,8.185724516591078,1.8142754834089232,历史1/2次成功; 当前距低点1.81%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
48,58.536731233481525,55.64812620889752,000779,甘咨询,confirmed_rebound,2025-04-03,9.17,2025-03-31,8.96,2.34374999999999,10.491071428571422,31.81126331811263,True,-1.2917,3.1456,1,2,1,50.0,17.69825918762089,17.69825918762089,7.656250000000011,2.34374999999999,历史1/2次成功; 当前距低点2.34%; 最新日涨幅-1.29%; 状态confirmed_rebound; 底部已确认
49,57.317764701416046,55.725604570821154,002163,海南发展,bottom_area,2025-04-03,7.35,2025-04-02,7.1,3.5211267605633805,9.014084507042263,32.892249527410215,True,-3.1621,3.8937,1,2,1,50.0,32.54716981132074,32.54716981132074,6.478873239436619,3.5211267605633805,历史1/2次成功; 当前距低点3.52%; 最新日涨幅-3.16%; 状态bottom_area; 底部已确认
