rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
32,79.63958787236093,73.760155210643,688055,龙腾光电,bottom_area,2022-09-29,4.14,2022-09-29,4.1,0.9756097560975618,4.146341463414633,28.0701754385965,False,-0.7194,0.1646,1,1,1,100.0,45.45454545454546,45.45454545454546,9.024390243902438,0.9756097560975618,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
33,79.59148724993985,72.82679665466722,300560,中富通,bottom_area,2022-09-29,11.81,2022-09-29,11.77,0.3398470688190393,4.078164825828381,28.88217522658611,False,-1.6653,0.984,2,2,2,100.0,15.976601997713122,20.94196804037006,9.660152931180962,0.3398470688190393,历史2/2次成功; 当前距低点0.34%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
34,79.45087187187184,72.91207407407406,002185,华天科技,bottom_area,2022-09-29,8.14,2022-09-29,8.1,0.4938271604938386,2.098765432098765,29.257641921397376,False,0.0,0.4502,1,1,1,100.0,12.516129032258071,12.516129032258071,9.506172839506162,0.4938271604938386,历史1/1次成功; 当前距低点0.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
35,79.28323177420673,72.86228576217698,000576,甘化科工,bottom_area,2022-09-29,10.61,2022-09-29,10.55,0.5687203791469073,3.127962085308057,27.040110650069156,False,-0.3756,1.2602,2,2,2,100.0,18.97294745501036,24.015009380863045,9.431279620853093,0.5687203791469073,历史2/2次成功; 当前距低点0.57%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
36,79.20745050708133,72.15916079653483,688183,生益电子,bottom_area,2022-09-29,9.04,2022-09-29,9.03,0.11074197120708514,2.657807308970102,31.900452488687787,False,-0.8772,0.3784,1,1,1,100.0,26.24544349939247,26.24544349939247,9.889258028792916,0.11074197120708514,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
37,79.11455339049095,73.22145144346143,300538,同益股份,bottom_area,2022-09-29,10.76,2022-09-29,10.66,0.9380863039399591,5.065666041275789,30.326797385620917,False,-1.4652,0.5873,2,2,2,100.0,25.431657077658826,30.150753768844226,9.061913696060042,0.9380863039399591,历史2/2次成功; 当前距低点0.94%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
38,78.99240196003805,72.84523869472142,300342,天银机电,bottom_area,2022-09-29,8.07,2022-09-29,8.01,0.7490636704119913,3.6204744069912724,29.73684210526316,False,-0.6158,0.7543,2,2,2,100.0,21.09195625409008,26.68539325842696,9.25093632958801,0.7490636704119913,历史2/2次成功; 当前距低点0.75%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
39,78.95659951751816,76.64115671641791,688010,福光股份,bottom_area,2022-09-29,19.86,2022-09-26,19.2,3.437500000000001,7.8125,31.379556826304505,True,-2.0227,0.2843,1,1,1,100.0,42.08955223880597,42.08955223880597,6.562499999999999,3.437500000000001,历史1/1次成功; 当前距低点3.44%; 最新日涨幅-2.02%; 状态bottom_area; 底部已确认
40,78.91566786763822,72.18994520682851,300433,蓝思科技,bottom_area,2022-09-29,9.22,2022-09-29,9.19,0.3264417845484346,3.04678998911862,29.253271747498083,False,-1.179,0.3158,2,2,2,100.0,12.388346643005029,14.217687074829932,9.673558215451566,0.3264417845484346,历史2/2次成功; 当前距低点0.33%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
41,78.45651989824054,73.47260162601626,002406,远东传动,bottom_area,2022-09-29,4.57,2022-09-29,4.5,1.555555555555562,4.22222222222223,27.41935483870968,False,-1.2959,0.7876,1,1,1,100.0,11.178861788617883,11.178861788617883,8.444444444444438,1.555555555555562,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
42,78.09075293326697,71.94991163767904,688280,精进电动,bottom_area,2022-09-29,8.6,2022-09-26,8.54,0.7025761124121839,5.971896955503532,32.114467408585064,False,-2.2727,1.4717,1,1,1,100.0,32.37518910741301,32.37518910741301,9.297423887587817,0.7025761124121839,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
