rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
22,85.06350138695088,81.12151376384497,300656,民德电子,confirmed_rebound,2023-08-28,23.18,2023-08-25,22.83,1.5330705212439835,8.585194918966277,31.027190332326292,True,0.564,1.2336,2,2,2,100.0,13.908142754200325,14.79500891265598,6.466929478756017,1.5330705212439835,历史2/2次成功; 当前距低点1.53%; 最新日涨幅0.56%; 状态confirmed_rebound; 底部已确认
23,84.53473700456463,84.49168391721828,000620,盈新发展,bottom_area,2023-08-28,1.57,2023-08-25,1.51,3.973509933774838,7.947019867549661,27.403846153846157,True,1.2903,2.7563,3,3,3,100.0,35.0606804635748,58.4192439862543,4.026490066225162,3.973509933774838,历史3/3次成功; 当前距低点3.97%; 最新日涨幅1.29%; 状态bottom_area; 底部已确认
24,84.46648712019072,79.21297089202113,001266,宏英智能,bottom_area,2023-08-28,24.33,2023-08-25,24.17,0.6619776582540198,6.743897393462967,31.37421919363997,False,0.0823,5.237,3,3,3,100.0,15.119784692689752,23.285351397121083,7.338022341745981,0.6619776582540198,历史3/3次成功; 当前距低点0.66%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
25,84.45455366259895,78.30845182825514,302132,中航成飞,confirmed_rebound,2023-08-28,41.21,2023-08-28,41.18,0.07285089849441753,9.154929577464795,32.54709254709255,False,-1.1751,2.3887,4,4,4,100.0,19.056730520550555,28.81165919282512,7.9271491015055835,0.07285089849441753,历史4/4次成功; 当前距低点0.07%; 最新日涨幅-1.18%; 状态confirmed_rebound; 底部未确认
26,83.70296373825556,78.39386173603125,300521,爱司凯,bottom_area,2023-08-28,11.86,2023-08-28,11.79,0.5937234944868557,7.463952502120448,30.23668639053254,False,-0.7531,1.947,4,4,4,100.0,15.685759696028395,20.590790616854918,7.406276505513144,0.5937234944868557,历史4/4次成功; 当前距低点0.59%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
27,82.87262973694138,77.27312772768859,300648,星云股份,confirmed_rebound,2023-08-28,24.84,2023-08-28,24.75,0.3636363636363631,8.606060606060602,27.842565597667633,False,-0.64,1.9349,5,5,5,100.0,17.054938907416574,26.78362573099414,7.636363636363637,0.3636363636363631,历史5/5次成功; 当前距低点0.36%; 最新日涨幅-0.64%; 状态confirmed_rebound; 底部未确认
28,82.605317864007,76.88713174892129,688185,康希诺,confirmed_rebound,2023-08-28,70.21,2023-08-28,70.02,0.27135104255926557,10.86832333618966,28.711056811240077,False,-0.8893,2.1305,6,6,6,100.0,13.848452290088234,19.236097367900253,7.728648957440734,0.27135104255926557,历史6/6次成功; 当前距低点0.27%; 最新日涨幅-0.89%; 状态confirmed_rebound; 底部未确认
29,82.39866247632098,77.48165780193142,688107,安路科技,bottom_area,2023-08-28,41.5,2023-08-28,41.17,0.8015545299975668,6.5338838960408,28.968253968253965,False,-1.1434,0.9511,3,3,3,100.0,29.995710378096113,67.95615731785945,7.198445470002433,0.8015545299975668,历史3/3次成功; 当前距低点0.80%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
30,82.16768725465838,78.23365217391304,300512,中亚股份,bottom_area,2023-08-28,7.7,2023-08-25,7.59,1.4492753623188448,6.060606060606072,28.260869565217394,False,0.9174,0.9191,1,1,1,100.0,12.999999999999995,12.999999999999995,6.550724637681156,1.4492753623188448,历史1/1次成功; 当前距低点1.45%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
31,82.14782061265674,77.90760350391886,002559,亚威股份,bottom_area,2023-08-28,7.32,2023-08-25,7.23,1.2448132780082968,6.08575380359612,28.202581926514398,False,0.6878,3.0992,1,1,1,100.0,8.740740740740739,8.740740740740739,6.755186721991703,1.2448132780082968,历史1/1次成功; 当前距低点1.24%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
32,81.83809966135041,79.36795343435938,002755,奥赛康,bottom_area,2023-08-28,7.66,2023-08-24,7.48,2.4064171122994615,5.347593582887693,32.97491039426523,False,1.5915,0.3527,1,1,1,100.0,30.831099195710454,30.831099195710454,5.5935828877005385,2.4064171122994615,历史1/1次成功; 当前距低点2.41%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
33,81.5581678419575,76.48272411695068,300423,昇辉科技,bottom_area,2023-08-28,9.15,2023-08-25,9.09,0.6600660066006655,5.720572057205716,29.37062937062937,False,0.5495,2.4041,2,2,2,100.0,17.084272107527923,23.28482328482329,7.339933993399335,0.6600660066006655,历史2/2次成功; 当前距低点0.66%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
34,81.55766852569982,75.93117353700934,688286,敏芯股份,confirmed_rebound,2023-08-28,45.83,2023-08-25,45.7,0.2844638949671673,8.752735229759299,30.335365853658523,True,-0.7794,1.1894,3,3,3,100.0,16.34274848136819,25.016501650165008,7.715536105032833,0.2844638949671673,历史3/3次成功; 当前距低点0.28%; 最新日涨幅-0.78%; 状态confirmed_rebound; 底部已确认
