rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
50,73.24723094013915,71.73345198323513,002383,合众思壮,bottom_area,2023-05-10,6.71,2023-04-28,6.52,2.914110429447859,5.828220858895718,28.50877192982456,False,-0.2972,0.9032,1,1,1,100.0,18.48184818481848,18.48184818481848,5.0858895705521405,2.914110429447859,历史1/1次成功; 当前距低点2.91%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
51,73.20294902251884,71.48238464785534,688047,龙芯中科,confirmed_rebound,2023-05-10,137.6,2023-05-08,133.9,2.763256161314405,9.775952203136672,27.1094175285792,True,-2.2033,6.7146,1,1,1,100.0,16.304347826086957,16.304347826086957,5.236743838685595,2.763256161314405,历史1/1次成功; 当前距低点2.76%; 最新日涨幅-2.20%; 状态confirmed_rebound; 底部已确认
52,73.19263884206157,74.07576200678793,002068,黑猫股份,bottom_area,2023-05-10,9.73,2023-05-10,9.3,4.6236559139784905,6.7741935483870845,28.953399541634827,False,1.3542,4.5735,2,2,2,100.0,12.89084672397248,15.184678522571824,3.37634408602151,4.6236559139784905,历史2/2次成功; 当前距低点4.62%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
53,72.62507240968046,72.25082353954753,000518,四环生物,confirmed_rebound,2023-05-10,2.78,2023-04-25,2.68,3.731343283582076,9.328358208955223,27.956989247311824,True,-1.4184,0.6919,2,2,2,100.0,15.635947452229296,17.834394904458602,4.268656716417924,3.731343283582076,历史2/2次成功; 当前距低点3.73%; 最新日涨幅-1.42%; 状态confirmed_rebound; 底部已确认
54,72.57381097559093,68.64093331845304,000721,西安饮食,bottom_area,2023-05-10,11.91,2023-05-10,11.78,1.1035653650254738,3.22580645161291,31.43189755529686,False,-1.9753,6.6825,2,3,2,66.66666666666666,18.550514430346464,20.485175202156327,6.896434634974527,1.1035653650254738,历史2/3次成功; 当前距低点1.10%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
55,72.26685169685909,68.1190513676461,300598,诚迈科技,bottom_area,2023-05-10,42.45,2023-05-10,42.06,0.9272467902995734,2.8055159296243453,28.56657608695652,False,-1.2331,1.9494,1,1,1,100.0,14.533193814672712,14.533193814672712,7.072753209700427,0.9272467902995734,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
56,72.1688837128424,71.39194951664876,603363,傲农生物,confirmed_rebound,2023-05-10,9.63,2023-04-25,9.31,3.437164339419981,9.559613319011802,29.576399394856278,True,-0.2073,1.0836,1,1,1,100.0,24.078947368421055,24.078947368421055,4.562835660580019,3.437164339419981,历史1/1次成功; 当前距低点3.44%; 最新日涨幅-0.21%; 状态confirmed_rebound; 底部已确认
57,72.00396237370717,72.9725668484671,603005,晶方科技,bottom_area,2023-05-10,22.3,2023-05-05,21.3,4.694835680751173,7.699530516431927,28.1618887015177,True,-1.7621,3.5076,2,2,2,100.0,21.111786024622447,24.55991516436903,3.3051643192488274,4.694835680751173,历史2/2次成功; 当前距低点4.69%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
58,71.37528588814382,72.62414977207483,002370,亚太药业,confirmed_rebound,2023-05-10,4.28,2023-04-25,4.08,4.901960784313729,9.558823529411757,32.56198347107438,True,-0.2331,0.7361,3,3,3,100.0,15.325915915645853,15.633423180592995,3.0980392156862706,4.901960784313729,历史3/3次成功; 当前距低点4.90%; 最新日涨幅-0.23%; 状态confirmed_rebound; 底部已确认
59,70.7616,65.52,600280,中央商场,bottom_area,2023-05-10,3.15,2023-05-10,3.15,0.0,3.174603174603177,32.835820895522396,False,-10.0,8.307,1,1,1,100.0,11.666666666666671,11.666666666666671,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
60,70.54735694081852,68.04718314084299,601528,瑞丰银行,confirmed_rebound,2023-05-10,5.77,2023-05-10,5.65,2.1238938053097205,8.849557522123893,32.33532934131736,False,-6.1789,5.9238,1,1,1,100.0,9.406779661016945,9.406779661016945,5.87610619469028,2.1238938053097205,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-6.18%; 状态confirmed_rebound; 底部未确认
61,70.33673684210528,65.12660818713452,000637,茂化实华,bottom_area,2023-05-10,3.65,2023-05-10,3.65,0.0,0.0,30.476190476190478,False,-4.9479,0.0783,1,1,1,100.0,9.551656920077978,9.551656920077978,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.95%; 状态bottom_area; 底部未确认
62,69.00987637428143,68.49533254029048,300771,智莱科技,confirmed_rebound,2023-05-10,10.33,2023-04-25,9.97,3.6108324974924715,10.330992978936804,32.176870748299315,True,-0.0967,1.8156,1,1,1,100.0,10.634573304157549,10.634573304157549,4.3891675025075285,3.6108324974924715,历史1/1次成功; 当前距低点3.61%; 最新日涨幅-0.10%; 状态confirmed_rebound; 底部已确认
63,65.50321380481029,66.31531552280055,000158,常山北明,confirmed_rebound,2023-05-10,6.99,2023-04-27,6.68,4.640718562874259,8.38323353293414,30.705394190871377,True,-0.7102,2.505,1,1,1,100.0,11.538461538461533,11.538461538461533,3.359281437125741,4.640718562874259,历史1/1次成功; 当前距低点4.64%; 最新日涨幅-0.71%; 状态confirmed_rebound; 底部已确认
64,62.14632595325898,59.13960225007748,002769,普路通,bottom_area,2023-05-10,8.56,2023-04-25,8.44,1.4218009478673106,7.464454976303327,28.231292517006807,True,-0.3492,0.5788,1,2,1,50.0,14.953271028037399,14.953271028037399,6.57819905213269,1.4218009478673106,历史1/2次成功; 当前距低点1.42%; 最新日涨幅-0.35%; 状态bottom_area; 底部已确认
65,60.18794758642241,57.01454241699962,603068,博通集成,bottom_area,2023-05-10,28.2,2023-05-10,27.87,1.1840688912809412,1.9016864011481793,30.167877724880977,False,-0.0354,1.4212,1,2,1,50.0,9.807631661936297,9.807631661936297,6.815931108719059,1.1840688912809412,历史1/2次成功; 当前距低点1.18%; 最新日涨幅-0.04%; 状态bottom_area; 底部未确认
66,57.31299362494861,57.151823362405274,002623,亚玛顿,bottom_area,2023-05-10,26.95,2023-04-25,25.95,3.853564547206166,7.013487475915222,30.42895442359249,True,1.3539,0.8621,1,2,1,50.0,11.601884570082444,11.601884570082444,4.146435452793834,3.853564547206166,历史1/2次成功; 当前距低点3.85%; 最新日涨幅1.35%; 状态bottom_area; 底部已确认
67,52.83153500427701,53.75809733228053,002112,三变科技,confirmed_rebound,2023-05-10,9.84,2023-04-25,9.38,4.904051172707879,9.275053304904041,29.046898638426622,True,1.9689,5.1038,1,2,1,50.0,16.44803229061553,16.44803229061553,3.0959488272921214,4.904051172707879,历史1/2次成功; 当前距低点4.90%; 最新日涨幅1.97%; 状态confirmed_rebound; 底部已确认
