rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
35,77.88339654281062,76.587303710782,603017,中衡设计,bottom_area,2024-06-07,9.1,2024-06-06,8.74,4.1189931350114355,8.352402745995429,30.52464228934817,False,2.593,3.2971,1,1,1,100.0,36.87423687423689,36.87423687423689,5.881006864988565,4.1189931350114355,历史1/1次成功; 当前距低点4.12%; 最新日涨幅2.59%; 状态bottom_area; 底部未确认
36,77.75823921230763,76.74059222840916,300486,东杰智能,confirmed_rebound,2024-06-07,4.6,2024-06-07,4.41,4.3083900226757255,10.65759637188208,29.777070063694268,False,1.0989,5.6894,3,3,3,100.0,16.90172838768716,19.09547738693468,5.691609977324275,4.3083900226757255,历史3/3次成功; 当前距低点4.31%; 最新日涨幅1.10%; 状态confirmed_rebound; 底部未确认
37,77.32819186988321,75.2829329965661,002640,跨境通,bottom_area,2024-06-07,1.73,2024-06-06,1.67,3.5928143712574885,9.580838323353301,31.83673469387756,True,3.5928,7.8912,1,1,1,100.0,14.218009478673,14.218009478673,6.407185628742512,3.5928143712574885,历史1/1次成功; 当前距低点3.59%; 最新日涨幅3.59%; 状态bottom_area; 底部已确认
38,76.99466480941621,75.5899846140482,605162,新中港,bottom_area,2024-06-07,7.48,2024-06-06,7.19,4.033379694019472,8.484005563282327,27.520161290322577,False,-0.7958,8.4896,3,3,3,100.0,19.602636109745223,26.46502835538753,5.966620305980529,4.033379694019472,历史3/3次成功; 当前距低点4.03%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
39,76.9475859573307,76.54471901514572,002246,北化股份,bottom_area,2024-06-07,9.31,2024-06-06,8.89,4.724409448818897,7.424071991001126,28.190630048465266,False,1.86,6.1863,2,2,2,100.0,27.399852464800023,31.992687385740403,5.275590551181103,4.724409448818897,历史2/2次成功; 当前距低点4.72%; 最新日涨幅1.86%; 状态bottom_area; 底部未确认
40,76.32067421623854,75.32797990738158,603366,日出东方,bottom_area,2024-06-07,3.87,2024-06-06,3.71,4.312668463611864,5.39083557951483,29.198473282442748,False,3.4759,0.961,2,2,2,100.0,15.811096797938903,17.583732057416277,5.687331536388136,4.312668463611864,历史2/2次成功; 当前距低点4.31%; 最新日涨幅3.48%; 状态bottom_area; 底部未确认
41,76.034924264854,75.06362360761972,002786,银宝山新,bottom_area,2024-06-07,7.96,2024-06-06,7.63,4.3250327653997385,8.256880733944953,29.547553093259467,False,2.5773,2.9876,5,6,5,83.33333333333334,17.319166555902065,22.074688796680498,5.674967234600262,4.3250327653997385,历史5/6次成功; 当前距低点4.33%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
42,75.08056916936813,74.36094710065215,002319,乐通股份,bottom_area,2024-06-07,9.3,2024-06-07,8.9,4.494382022471914,4.943820224719095,29.14012738853503,False,3.1042,1.5682,2,2,2,100.0,12.83945221445222,15.224358974358976,5.505617977528086,4.494382022471914,历史2/2次成功; 当前距低点4.49%; 最新日涨幅3.10%; 状态bottom_area; 底部未确认
43,75.03415044364931,68.40925424325034,002811,郑中设计,bottom_area,2024-06-07,6.65,2024-06-07,6.64,0.1506024096385644,5.120481927710855,27.032967032967033,False,-9.8916,8.1532,1,1,1,100.0,16.78832116788322,16.78832116788322,9.849397590361436,0.1506024096385644,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-9.89%; 状态bottom_area; 底部未确认
44,74.8493879568749,73.35927763001524,000886,海南高速,bottom_area,2024-06-07,4.48,2024-06-06,4.31,3.9443155452436387,5.80046403712297,30.818619582664535,False,2.9885,1.7794,1,1,1,100.0,17.378048780487816,17.378048780487816,6.055684454756362,3.9443155452436387,历史1/1次成功; 当前距低点3.94%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
45,74.4971691174361,73.12895005194804,600322,津投城开,bottom_area,2024-06-07,1.55,2024-06-06,1.49,4.026845637583897,7.382550335570476,28.01932367149758,False,1.9737,1.9392,3,4,3,75.0,21.318054331394194,35.828877005347586,5.973154362416104,4.026845637583897,历史3/4次成功; 当前距低点4.03%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
