rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
44,74.91401492760114,72.90290043290044,002654,万润科技,bottom_area,2023-04-27,6.09,2023-04-26,5.88,3.571428571428571,9.523809523809533,31.308411214953274,False,0.1645,4.566,1,1,1,100.0,10.353535353535358,10.353535353535358,6.42857142857143,3.571428571428571,历史1/1次成功; 当前距低点3.57%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
45,74.7642505123493,68.6992180096455,605358,立昂微,bottom_area,2023-04-27,44.81,2023-04-27,44.56,0.5610412926391383,4.353680430879708,27.094240837696326,False,-1.5381,3.3444,1,1,1,100.0,13.16339869281045,13.16339869281045,9.438958707360861,0.5610412926391383,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
46,74.57953589726148,70.44430947108286,300771,智莱科技,confirmed_rebound,2023-04-27,10.17,2023-04-25,9.97,2.00601805416248,10.330992978936804,32.176870748299315,False,-1.6441,3.7894,1,1,1,100.0,10.634573304157549,10.634573304157549,7.993981945837521,2.00601805416248,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-1.64%; 状态confirmed_rebound; 底部未确认
47,74.37732666997218,71.65620496253419,601369,陕鼓动力,bottom_area,2023-04-27,9.48,2023-04-27,9.2,3.043478260869578,4.456521739130437,31.189229618548993,False,1.826,1.024,2,3,2,66.66666666666666,36.068111455108365,55.572755417956664,6.956521739130422,3.043478260869578,历史2/3次成功; 当前距低点3.04%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
48,74.32482582000732,70.54824326561805,000970,中科三环,bottom_area,2023-04-27,11.75,2023-04-27,11.49,2.2628372497824176,3.7423846823324607,27.140139505389975,False,-4.238,2.0155,1,1,1,100.0,14.341463414634154,14.341463414634154,7.737162750217583,2.2628372497824176,历史1/1次成功; 当前距低点2.26%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
49,74.27945614918897,74.06858473357735,000518,四环生物,bottom_area,2023-04-27,2.81,2023-04-25,2.68,4.850746268656712,5.223880597014913,27.956989247311824,False,2.5547,0.6463,2,2,2,100.0,15.635947452229296,17.834394904458602,5.149253731343289,4.850746268656712,历史2/2次成功; 当前距低点4.85%; 最新日涨幅2.55%; 状态bottom_area; 底部未确认
50,73.9142884200536,73.63324549830435,603260,合盛硅业,bottom_area,2023-04-27,73.36,2023-04-25,70.0,4.8,9.41428571428572,29.64824120603015,True,-1.5566,0.2631,2,2,2,100.0,25.95293278658251,34.21399022188793,5.2,4.8,历史2/2次成功; 当前距低点4.80%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
51,72.40951603082891,70.31826647037175,603366,日出东方,bottom_area,2023-04-27,5.38,2023-04-25,5.2,3.4615384615384563,4.615384615384619,28.57142857142857,False,-0.738,0.7847,1,1,1,100.0,17.583732057416277,17.583732057416277,6.5384615384615445,3.4615384615384563,历史1/1次成功; 当前距低点3.46%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
52,72.3721742325528,70.11549677968665,688289,圣湘生物,confirmed_rebound,2023-04-27,18.58,2023-04-26,17.98,3.3370411568409226,12.45828698553948,27.058823529411757,False,-2.7734,2.8205,1,1,1,100.0,25.182530200451346,25.182530200451346,6.662958843159078,3.3370411568409226,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-2.77%; 状态confirmed_rebound; 底部未确认
53,72.1900074894611,69.66785477238489,601061,中信金属,bottom_area,2023-04-27,7.9,2023-04-25,7.66,3.1331592689295062,5.091383812010451,28.544776119402986,False,-1.25,5.6732,1,1,1,100.0,10.061601642710476,10.061601642710476,6.866840731070495,3.1331592689295062,历史1/1次成功; 当前距低点3.13%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
54,71.78931512137936,71.2150006004083,000561,烽火电子,bottom_area,2023-04-27,8.68,2023-04-25,8.3,4.578313253012036,5.421686746987943,27.826086956521735,False,1.4019,1.2016,1,1,1,100.0,13.621262458471767,13.621262458471767,5.421686746987964,4.578313253012036,历史1/1次成功; 当前距低点4.58%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
55,71.23051398897452,65.83650203752728,688107,安路科技,bottom_area,2023-04-27,53.46,2023-04-26,53.0,0.8679245283018885,5.735849056603772,28.67716323509622,False,-0.7979,1.2751,2,3,2,66.66666666666666,40.4231359967146,67.95615731785945,9.132075471698112,0.8679245283018885,历史2/3次成功; 当前距低点0.87%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
56,70.20420856521488,65.9622474859509,688168,安博通,bottom_area,2023-04-27,40.01,2023-04-27,39.33,1.7289600813628268,4.525807271802698,32.849581697114566,False,-0.0999,2.0997,2,3,2,66.66666666666666,11.815106477373549,12.015306122448962,8.271039918637173,1.7289600813628268,历史2/3次成功; 当前距低点1.73%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
57,70.09152428521887,68.43214756079871,300423,昇辉科技,bottom_area,2023-04-27,9.98,2023-04-25,9.62,3.742203742203755,5.613305613305624,32.443820224719104,False,-0.7952,1.5701,1,1,1,100.0,10.883720930232558,10.883720930232558,6.257796257796246,3.742203742203755,历史1/1次成功; 当前距低点3.74%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
58,69.26329581585014,69.16372236010565,001317,三羊马,bottom_area,2023-04-27,34.73,2023-04-25,33.1,4.924471299093642,7.552870090634441,27.72925764192139,False,-0.1725,3.5489,2,2,2,100.0,12.64256409698468,13.38459533428906,5.075528700906359,4.924471299093642,历史2/2次成功; 当前距低点4.92%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
59,68.96601456409012,67.83542416140011,688191,智洋创新,bottom_area,2023-04-27,13.86,2023-04-27,13.31,4.132231404958669,7.287753568745295,28.8235294117647,False,-5.3925,6.1746,1,1,1,100.0,22.671568627450974,22.671568627450974,5.867768595041331,4.132231404958669,历史1/1次成功; 当前距低点4.13%; 最新日涨幅-5.39%; 状态bottom_area; 底部未确认
60,68.81421004349613,64.54585510887686,001896,豫能控股,bottom_area,2023-04-27,4.34,2023-04-24,4.27,1.6393442622950887,5.85480093676815,27.993254637436767,False,-0.6865,0.5005,2,4,2,50.0,22.546021650051973,34.93975903614456,8.360655737704912,1.6393442622950887,历史2/4次成功; 当前距低点1.64%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
61,68.21926604711628,67.33172976501305,688238,和元生物,bottom_area,2023-04-27,16.69,2023-04-27,16.0,4.312500000000008,7.437500000000008,28.507596067917778,False,-1.2426,1.6503,1,1,1,100.0,11.958224543080954,11.958224543080954,5.687499999999993,4.312500000000008,历史1/1次成功; 当前距低点4.31%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
