rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
16,81.25227757475999,74.47069122491654,603155,新亚强,bottom_area,2024-07-15,11.75,2024-07-15,11.7,0.4273504273504335,3.247863247863255,29.898142600359506,False,-4.7812,3.5816,3,3,3,100.0,19.435753759545772,25.624375624375624,9.572649572649567,0.4273504273504335,历史3/3次成功; 当前距低点0.43%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
17,81.22798706590798,75.06639397669464,600062,华润双鹤,bottom_area,2024-07-15,17.58,2024-07-15,17.43,0.8605851979345874,1.4343086632243258,27.766266058847904,False,0.6873,0.8711,2,2,2,100.0,11.927571118201655,13.741034352585885,9.139414802065412,0.8605851979345874,历史2/2次成功; 当前距低点0.86%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
18,80.85774735720283,78.82996685921654,002125,湘潭电化,bottom_area,2024-07-15,9.33,2024-07-09,9.0,3.6666666666666674,7.555555555555553,28.684627575277332,True,-1.9958,1.0949,3,3,3,100.0,23.333155157078114,32.067510548523195,6.333333333333332,3.6666666666666674,历史3/3次成功; 当前距低点3.67%; 最新日涨幅-2.00%; 状态bottom_area; 底部已确认
19,80.78565972973169,75.5329202635424,300492,华图山鼎,bottom_area,2024-07-15,79.98,2024-07-11,78.82,1.4717076884039721,9.071301700076132,30.859649122807024,True,-1.3445,0.4785,1,1,1,100.0,12.034482758620696,12.034482758620696,8.528292311596028,1.4717076884039721,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-1.34%; 状态bottom_area; 底部已确认
20,80.724873248068,79.66840097427863,600966,博汇纸业,bottom_area,2024-07-15,4.6,2024-07-10,4.41,4.3083900226757255,8.616780045351472,28.640776699029118,True,-2.5424,0.6912,5,5,5,100.0,19.04048508591009,40.28436018957346,5.691609977324275,4.3083900226757255,历史5/5次成功; 当前距低点4.31%; 最新日涨幅-2.54%; 状态bottom_area; 底部已确认
21,80.41821963738205,76.60488591259397,002557,洽洽食品,bottom_area,2024-07-15,27.18,2024-07-09,26.53,2.4500565397662966,4.033169996230683,31.001300390117038,False,0.0,0.729,1,1,1,100.0,16.510832383124292,16.510832383124292,7.549943460233704,2.4500565397662966,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
22,80.1566035338192,77.11373714902004,600129,太极集团,bottom_area,2024-07-15,27.75,2024-07-09,26.95,2.968460111317257,7.569573283858995,30.2355682112348,True,-1.2456,0.9243,2,2,2,100.0,22.21411937001825,29.540598290598297,7.031539888682743,2.968460111317257,历史2/2次成功; 当前距低点2.97%; 最新日涨幅-1.25%; 状态bottom_area; 底部已确认
23,80.12259415360543,74.13317597287045,600973,宝胜股份,bottom_area,2024-07-15,3.28,2024-07-15,3.25,0.9230769230769171,4.307692307692312,29.805615550755938,False,-3.2448,0.9395,2,2,2,100.0,40.36446966390223,46.551724137931025,9.076923076923084,0.9230769230769171,历史2/2次成功; 当前距低点0.92%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
24,80.06683815883996,78.0949197187774,000657,中钨高新,bottom_area,2024-07-15,8.99,2024-07-09,8.67,3.6908881199538675,7.6124567474048455,28.465346534653463,True,0.0,0.9577,2,2,2,100.0,13.87174533479693,15.120000000000006,6.309111880046133,3.6908881199538675,历史2/2次成功; 当前距低点3.69%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
25,79.83951305455888,76.47603229100771,001218,丽臣实业,bottom_area,2024-07-15,14.62,2024-07-09,14.23,2.7406886858749036,6.60576247364722,28.131313131313128,False,-2.2727,0.8299,2,2,2,100.0,25.18711018711019,29.999999999999993,7.259311314125097,2.7406886858749036,历史2/2次成功; 当前距低点2.74%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
26,79.59167181863417,74.43825421886649,603187,海容冷链,bottom_area,2024-07-15,10.92,2024-07-09,10.76,1.4869888475836444,5.297397769516731,30.175210902011685,False,-2.3256,0.8693,1,1,1,100.0,15.530047265361235,15.530047265361235,8.513011152416356,1.4869888475836444,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
27,79.38675088798233,72.74057718833204,001336,楚环科技,bottom_area,2024-07-15,17.03,2024-07-15,16.96,0.41273584905660543,3.6556603773584753,28.91869237217099,False,-3.1286,6.0564,2,2,2,100.0,26.62158561387693,40.95427435387674,9.587264150943394,0.41273584905660543,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-3.13%; 状态bottom_area; 底部未确认
