rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
44,84.09918767884936,74.98298442593263,603165,荣晟环保,bottom_area,2022-10-11,10.59,2022-10-11,10.45,1.3397129186602927,2.6794258373205855,28.668941979522188,False,-0.4699,0.8832,1,1,1,100.0,16.653386454183263,16.653386454183263,13.660287081339707,1.3397129186602927,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
45,83.81582126814536,78.11519709473986,300707,威唐工业,bottom_area,2022-10-11,16.19,2022-10-11,15.61,3.715566944266508,4.676489429852661,28.591033851784083,False,2.2742,2.0119,2,2,2,100.0,23.47682649283599,24.351297405189634,11.284433055733492,3.715566944266508,历史2/2次成功; 当前距低点3.72%; 最新日涨幅2.27%; 状态bottom_area; 底部未确认
46,83.75751773897862,76.81052687354574,000683,博源化工,bottom_area,2022-10-11,7.22,2022-10-11,7.02,2.8490028490028516,3.2763532763532823,28.58596134282808,False,2.1216,0.9913,1,1,1,100.0,22.50673854447439,22.50673854447439,12.150997150997148,2.8490028490028516,历史1/1次成功; 当前距低点2.85%; 最新日涨幅2.12%; 状态bottom_area; 底部未确认
47,83.36213512272036,76.14891559171441,002414,高德红外,bottom_area,2022-10-11,11.28,2022-10-10,10.99,2.6387625113739688,6.824385805277525,29.551282051282048,False,1.8051,0.5122,1,1,1,100.0,16.372549019607842,16.372549019607842,12.361237488626031,2.6387625113739688,历史1/1次成功; 当前距低点2.64%; 最新日涨幅1.81%; 状态bottom_area; 底部未确认
48,83.25008514492758,78.50695652173916,000678,襄阳轴承,bottom_area,2022-10-11,5.52,2022-10-10,5.29,4.3478260869565135,5.1039697542533,30.84967320261438,False,3.7594,4.1228,1,1,1,100.0,121.62162162162164,121.62162162162164,10.652173913043486,4.3478260869565135,历史1/1次成功; 当前距低点4.35%; 最新日涨幅3.76%; 状态bottom_area; 底部未确认
49,83.20216273479963,75.20327895188166,688300,联瑞新材,bottom_area,2022-10-11,65.53,2022-10-11,64.2,2.0716510903426766,3.83177570093457,29.682365826944135,False,-1.0121,2.1682,1,1,1,100.0,26.809910956252438,26.809910956252438,12.928348909657322,2.0716510903426766,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
50,83.02807926927926,76.3267802904427,300682,朗新科技,bottom_area,2022-10-11,21.43,2022-10-10,20.81,2.979336857280159,4.613166746756372,27.968155070958815,False,2.34,0.4029,1,1,1,100.0,21.503593145384194,21.503593145384194,12.02066314271984,2.979336857280159,历史1/1次成功; 当前距低点2.98%; 最新日涨幅2.34%; 状态bottom_area; 底部未确认
51,83.02459913496436,73.06697573289685,000009,中国宝安,bottom_area,2022-10-11,10.97,2022-10-10,10.9,0.6422018348623879,4.311926605504576,29.677419354838708,False,0.1826,1.3201,1,1,1,100.0,15.167719980554208,15.167719980554208,14.357798165137611,0.6422018348623879,历史1/1次成功; 当前距低点0.64%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
52,82.92937211528302,72.98531717408095,688025,杰普特,bottom_area,2022-10-11,46.9,2022-10-11,46.6,0.6437768240343286,4.077253218884117,28.854961832061065,False,-2.2917,1.6976,2,2,2,100.0,20.554453402576446,23.866292660121555,14.35622317596567,0.6437768240343286,历史2/2次成功; 当前距低点0.64%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
53,82.11580918250101,73.56063782425673,603256,宏和科技,bottom_area,2022-10-11,6.38,2022-10-11,6.28,1.5923566878980837,4.299363057324833,28.228571428571424,False,-4.491,0.9145,1,1,1,100.0,22.318339100346023,22.318339100346023,13.407643312101916,1.5923566878980837,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-4.49%; 状态bottom_area; 底部未确认
54,82.01277307179049,76.02641299548853,002053,云南能投,bottom_area,2022-10-11,10.56,2022-10-10,10.21,3.42801175318315,4.211557296767872,30.068493150684922,False,1.9305,0.609,1,1,1,100.0,25.38860103626942,25.38860103626942,11.57198824681685,3.42801175318315,历史1/1次成功; 当前距低点3.43%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
55,81.9339880624783,71.98459477171107,601155,新城控股,bottom_area,2022-10-11,16.42,2022-10-11,16.33,0.5511328842621153,6.552357624004901,28.533916849015327,False,-4.9218,1.2629,2,2,2,100.0,24.2536438055306,24.642857142857142,14.448867115737885,0.5511328842621153,历史2/2次成功; 当前距低点0.55%; 最新日涨幅-4.92%; 状态bottom_area; 底部未确认
56,81.71629605533114,73.25132589985581,002600,领益智造,bottom_area,2022-10-11,4.37,2022-10-10,4.3,1.6279069767441927,4.651162790697678,30.533117932148635,False,1.1574,0.2635,2,3,2,66.66666666666666,27.29186634497801,38.381201044386415,13.372093023255808,1.6279069767441927,历史2/3次成功; 当前距低点1.63%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
57,81.35653138533128,76.28156381615089,600110,诺德股份,bottom_area,2022-10-11,8.5,2022-10-10,8.17,4.039167686658508,4.6511627906976845,29.690189328743543,False,0.5917,0.9024,1,1,1,100.0,34.251968503937015,34.251968503937015,10.960832313341493,4.039167686658508,历史1/1次成功; 当前距低点4.04%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
58,81.24641757106338,75.60368488654203,603155,新亚强,bottom_area,2022-10-11,25.39,2022-10-11,24.5,3.6326530612244925,3.6734693877550963,31.102362204724415,False,1.0748,1.7483,1,1,1,100.0,25.624375624375624,25.624375624375624,11.367346938775508,3.6326530612244925,历史1/1次成功; 当前距低点3.63%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
59,81.07214965560065,71.36846134136655,002322,理工能科,bottom_area,2022-10-11,7.66,2022-10-11,7.61,0.6570302233902736,2.102496714848873,27.385496183206108,False,-0.3901,0.2975,1,1,1,100.0,28.6908077994429,28.6908077994429,14.342969776609726,0.6570302233902736,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
60,80.85348705895552,74.90267041141642,002553,南方精工,bottom_area,2022-10-11,11.58,2022-10-10,11.2,3.3928571428571503,6.696428571428571,27.17815344603382,False,2.0264,5.9953,1,1,1,100.0,18.916046758767262,18.916046758767262,11.607142857142849,3.3928571428571503,历史1/1次成功; 当前距低点3.39%; 最新日涨幅2.03%; 状态bottom_area; 底部未确认
61,80.58852999706251,74.69441320857527,002677,浙江美大,bottom_area,2022-10-11,11.19,2022-10-11,10.82,3.419593345656185,4.251386321626609,27.81854569713142,False,0.8108,0.6599,1,1,1,100.0,18.124118476727787,18.124118476727787,11.580406654343815,3.419593345656185,历史1/1次成功; 当前距低点3.42%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
62,80.03166983270745,75.34201386748636,000868,安凯客车,bottom_area,2022-10-11,5.88,2022-10-11,5.64,4.255319148936175,6.028368794326255,27.87723785166241,False,2.9772,7.3413,3,4,3,75.0,36.016889930434594,69.53846153846153,10.744680851063826,4.255319148936175,历史3/4次成功; 当前距低点4.26%; 最新日涨幅2.98%; 状态bottom_area; 底部未确认
63,79.76339496238928,75.06245868891102,600312,平高电气,bottom_area,2022-10-11,6.89,2022-10-10,6.61,4.236006051437206,4.538577912254158,27.759562841530055,False,3.4535,0.8917,1,1,1,100.0,30.110497237569056,30.110497237569056,10.763993948562794,4.236006051437206,历史1/1次成功; 当前距低点4.24%; 最新日涨幅3.45%; 状态bottom_area; 底部未确认
64,79.65657515969774,70.29678981876677,603005,晶方科技,bottom_area,2022-10-11,17.86,2022-10-11,17.72,0.7900677200902968,2.1444695259593827,29.821782178217827,False,-0.4459,1.4461,1,1,1,100.0,24.55991516436903,24.55991516436903,14.209932279909705,0.7900677200902968,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
65,79.38161254127937,69.85624703959,605080,浙江自然,bottom_area,2022-10-11,45.7,2022-10-11,45.41,0.6386258533362834,3.038978198634668,28.1487341772152,False,-1.6781,1.4527,1,1,1,100.0,20.335021425788852,20.335021425788852,14.361374146663715,0.6386258533362834,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
66,78.9630205587603,71.41375726713184,002641,公元股份,bottom_area,2022-10-11,5.34,2022-10-11,5.23,2.103250478011461,4.780114722753346,27.05718270571826,False,-8.0895,13.0654,1,1,1,100.0,17.038539553752532,17.038539553752532,12.896749521988538,2.103250478011461,历史1/1次成功; 当前距低点2.10%; 最新日涨幅-8.09%; 状态bottom_area; 底部未确认
67,78.83699604060509,74.20174696193942,002221,东华能源,bottom_area,2022-10-11,7.86,2022-10-11,7.54,4.244031830238731,4.244031830238731,27.360308285163782,False,2.8796,0.5819,1,1,1,100.0,25.581395348837223,25.581395348837223,10.755968169761267,4.244031830238731,历史1/1次成功; 当前距低点4.24%; 最新日涨幅2.88%; 状态bottom_area; 底部未确认
68,77.65894291206185,71.32413685945338,300454,深信服,bottom_area,2022-10-11,87.5,2022-10-11,85.01,2.9290671685683978,5.775791083401948,29.264436678315857,False,-0.9733,1.0821,1,1,1,100.0,16.464569912845768,16.464569912845768,12.070932831431602,2.9290671685683978,历史1/1次成功; 当前距低点2.93%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
69,77.1511193921159,68.27774058859184,300520,科大国创,bottom_area,2022-10-11,15.02,2022-10-11,14.88,0.9408602150537553,2.2849462365591386,31.047265987025014,False,-0.5298,2.1828,1,1,1,100.0,15.553235908141966,15.553235908141966,14.059139784946245,0.9408602150537553,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
70,77.13879332449804,70.38400276455484,300491,通合科技,bottom_area,2022-10-11,11.54,2022-10-10,11.25,2.57777777777777,3.555555555555559,28.435114503816795,False,1.8535,0.8591,2,3,2,66.66666666666666,23.51972812484664,27.26480836236933,12.42222222222223,2.57777777777777,历史2/3次成功; 当前距低点2.58%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
