rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
121,54.74049688137758,49.517905306122465,300739,明阳电路,bottom_area,2024-02-02,10.24,2024-02-02,9.8,4.489795918367342,16.122448979591837,27.461139896373048,False,-7.8308,1.5895,1,2,1,50.0,20.239999999999995,20.239999999999995,15.510204081632658,4.489795918367342,历史1/2次成功; 当前距低点4.49%; 最新日涨幅-7.83%; 状态bottom_area; 底部未确认
122,54.474161947967396,48.4748049052397,300631,久吾高科,bottom_area,2024-02-02,20.2,2024-02-02,19.5,3.589743589743586,14.307692307692305,30.75284090909091,False,-6.4815,1.9136,1,3,1,33.33333333333333,23.04347826086956,23.04347826086956,16.410256410256416,3.589743589743586,历史1/3次成功; 当前距低点3.59%; 最新日涨幅-6.48%; 状态bottom_area; 底部未确认
123,54.457711110627876,48.67348380141551,688262,国芯科技,bottom_area,2024-02-02,17.89,2024-02-02,17.23,3.830528148578062,13.232733604178765,27.907949790794973,False,-7.1614,2.419,1,3,1,33.33333333333333,27.063197026022312,27.063197026022312,16.16947185142194,3.830528148578062,历史1/3次成功; 当前距低点3.83%; 最新日涨幅-7.16%; 状态bottom_area; 底部未确认
124,54.43532341750256,48.63841807909603,688148,芳源股份,bottom_area,2024-02-02,4.9,2024-02-02,4.72,3.8135593220339112,12.711864406779675,27.38461538461539,False,-5.9501,2.941,1,3,1,33.33333333333333,26.66666666666668,26.66666666666668,16.18644067796609,3.8135593220339112,历史1/3次成功; 当前距低点3.81%; 最新日涨幅-5.95%; 状态bottom_area; 底部未确认
125,54.387432715749256,48.789838806200656,000701,厦门信达,bottom_area,2024-02-02,3.87,2024-02-02,3.72,4.032258064516126,13.978494623655912,30.597014925373134,False,-4.914,5.1144,1,3,1,33.33333333333333,30.161579892280066,30.161579892280066,15.967741935483875,4.032258064516126,历史1/3次成功; 当前距低点4.03%; 最新日涨幅-4.91%; 状态bottom_area; 底部未确认
126,54.28311614085974,48.345900312953205,000572,海马汽车,bottom_area,2024-02-02,3.42,2024-02-02,3.3,3.63636363636364,13.030303030303036,28.104575163398692,False,-6.812,3.4078,1,3,1,33.33333333333333,22.92191435768261,22.92191435768261,16.36363636363636,3.63636363636364,历史1/3次成功; 当前距低点3.64%; 最新日涨幅-6.81%; 状态bottom_area; 底部未确认
127,54.18286147954703,49.21473858021705,300648,星云股份,bottom_area,2024-02-02,16.88,2024-02-02,16.12,4.7146401985111535,14.950372208436724,27.25631768953068,False,-7.4054,3.464,2,6,2,33.33333333333333,24.14400483596314,26.78362573099414,15.285359801488848,4.7146401985111535,历史2/6次成功; 当前距低点4.71%; 最新日涨幅-7.41%; 状态bottom_area; 底部未确认
128,53.72064029153158,48.685814587815976,688097,博众精工,bottom_area,2024-02-02,20.5,2024-02-02,19.6,4.59183673469387,13.622448979591825,27.808471454880284,False,-6.9873,5.4904,1,3,1,33.33333333333333,36.461661341853045,36.461661341853045,15.40816326530613,4.59183673469387,历史1/3次成功; 当前距低点4.59%; 最新日涨幅-6.99%; 状态bottom_area; 底部未确认
129,53.622483271108365,48.87520026938489,688004,博汇科技,bottom_area,2024-02-02,18.82,2024-02-02,17.94,4.905239687848377,16.220735785953178,29.53652788688138,False,-6.3682,3.1153,1,2,1,50.0,21.87713310580205,21.87713310580205,15.094760312151623,4.905239687848377,历史1/2次成功; 当前距低点4.91%; 最新日涨幅-6.37%; 状态bottom_area; 底部未确认
130,53.61673415823022,48.9544094488189,002451,摩恩电气,bottom_area,2024-02-02,5.25,2024-02-02,5.0,5.0,12.400000000000002,27.325581395348834,False,-4.5455,3.7009,1,2,1,50.0,23.464566929133863,23.464566929133863,15.000000000000002,5.0,历史1/2次成功; 当前距低点5.00%; 最新日涨幅-4.55%; 状态bottom_area; 底部未确认
131,53.43010563181383,48.784009489916976,688288,鸿泉技术,bottom_area,2024-02-02,14.7,2024-02-02,14.0,4.999999999999995,15.357142857142847,29.789368104312942,False,-7.1383,1.8628,1,3,1,33.33333333333333,41.992882562277565,41.992882562277565,15.000000000000007,4.999999999999995,历史1/3次成功; 当前距低点5.00%; 最新日涨幅-7.14%; 状态bottom_area; 底部未确认
132,53.392632463647885,46.88133582173961,000679,大连友谊,bottom_area,2024-02-02,4.32,2024-02-02,4.2,2.8571428571428594,14.285714285714276,27.958833619210978,False,-7.4946,2.9125,1,6,1,16.666666666666664,24.94061757719715,24.94061757719715,17.142857142857142,2.8571428571428594,历史1/6次成功; 当前距低点2.86%; 最新日涨幅-7.49%; 状态bottom_area; 底部未确认
133,53.240552138509,48.179926739926756,002442,龙星科技,bottom_area,2024-02-02,4.17,2024-02-02,3.99,4.511278195488715,11.779448621553879,27.056672760511873,False,-4.7945,3.7957,1,3,1,33.33333333333333,32.75434243176177,32.75434243176177,15.488721804511286,4.511278195488715,历史1/3次成功; 当前距低点4.51%; 最新日涨幅-4.79%; 状态bottom_area; 底部未确认
