rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
90,76.07634289542774,65.13478272107642,002652,扬子新材,bottom_area,2026-06-09,4.81,6.71,2026-06-08,4.74,1.4767932489451348,6.962025316455697,29.359165424739192,28.315946348733238,False,0.41753653444676075,3.7104933328186678,2,5,2,40.0,22.913286713286713,23.426573426573423,18.523206751054865,1.4767932489451348,历史2/5次成功; 当前距低点1.48%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
91,75.99467984866698,65.37651554415709,002190,成飞集成,bottom_area,2026-06-09,25.17,36.38,2026-06-08,24.74,1.738075990299124,4.607922392886017,31.995601979109413,30.81363386476086,False,0.398883127243721,0.8549064787057615,1,2,1,50.0,39.08241291418863,39.08241291418863,18.261924009700877,1.738075990299124,历史1/2次成功; 当前距低点1.74%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
92,75.9077574971035,65.9752928975111,000901,航天科技,bottom_area,2026-06-09,18.24,25.09,2026-06-09,17.83,2.2994952327537868,3.533370723499734,28.935831008369874,27.301713830211245,False,-0.2188183807440014,2.406810066012351,2,4,2,50.0,38.32334423757916,42.402315484804625,17.700504767246215,2.2994952327537868,历史2/4次成功; 当前距低点2.30%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
93,75.81960103269857,66.04313670200767,002021,中捷资源,bottom_area,2026-06-09,2.54,3.4,2026-06-08,2.48,2.4193548387096793,7.258064516129038,27.058823529411764,25.294117647058822,False,-0.78125,2.1667625062861053,2,4,2,50.0,40.15734265734265,50.76923076923077,17.58064516129032,2.4193548387096793,历史2/4次成功; 当前距低点2.42%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
94,75.15489059344632,64.65957604741416,600550,保变电气,bottom_area,2026-06-09,12.26,17.32,2026-06-09,12.05,1.7427385892116103,2.821576763485476,30.427251732101613,29.2147806004619,False,0.5742411812961423,1.4852988117377361,1,2,1,50.0,35.285053929121716,35.285053929121716,18.25726141078839,1.7427385892116103,历史1/2次成功; 当前距低点1.74%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
95,75.01220507812499,65.31675,000017,深中华A,bottom_area,2026-06-09,5.12,7.11,2026-06-08,5.0,2.400000000000002,6.199999999999992,29.676511954992975,27.988748241912802,False,1.3861386138613874,1.9434602065760846,1,2,1,50.0,46.874999999999986,46.874999999999986,17.599999999999998,2.400000000000002,历史1/2次成功; 当前距低点2.40%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
96,74.97159125687418,64.45888409629251,603191,望变电气,bottom_area,2026-06-09,16.69,22.72,2026-06-09,16.41,1.7062766605728283,4.5094454600853044,27.772887323943657,26.54049295774647,False,-0.5363528009535101,3.048629978546468,2,5,2,40.0,44.5655638838632,54.24528301886794,18.293723339427174,1.7062766605728283,历史2/5次成功; 当前距低点1.71%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
97,74.62560179850848,66.88412060507054,600126,杭钢股份,bottom_area,2026-06-09,7.05,9.78,2026-06-08,6.78,3.982300884955746,5.899705014749254,30.674846625766865,27.914110429447852,False,3.0701754385964897,1.7435979718710224,2,4,2,50.0,41.364336681557226,55.84045584045584,16.017699115044255,3.982300884955746,历史2/4次成功; 当前距低点3.98%; 最新日涨幅3.07%; 状态bottom_area; 底部未确认
98,74.48317226982778,64.08335863923236,002045,国光电器,bottom_area,2026-06-09,8.75,11.93,2026-06-08,8.6,1.7441860465116321,5.813953488372093,27.912824811399833,26.655490360435873,False,-0.22805017103761926,1.8372339050262108,4,9,4,44.44444444444444,33.38167588262236,40.89958158995815,18.25581395348837,1.7441860465116321,历史4/9次成功; 当前距低点1.74%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
99,74.48246833117081,67.23552546651635,688262,国芯科技,bottom_area,2026-06-09,33.4,43.99,2026-06-08,32.0,4.374999999999996,7.187499999999991,27.256194589679478,24.073653102977957,False,1.7052375152253108,3.60211435155588,4,7,4,57.14285714285714,32.59115074163924,42.05186020293122,15.625000000000005,4.374999999999996,历史4/7次成功; 当前距低点4.37%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
