rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
35,75.6162571773785,70.67898438750694,300474,景嘉微,bottom_area,2024-04-15,64.09,2024-04-15,63.17,1.456387525724239,6.0471742915941,32.286418694393824,False,-4.0282,3.5535,3,5,3,60.0,41.8255265922484,59.857142857142854,8.543612474275761,1.456387525724239,历史3/5次成功; 当前距低点1.46%; 最新日涨幅-4.03%; 状态bottom_area; 底部未确认
36,75.222003869433,70.82066584446805,688332,中科蓝讯,bottom_area,2024-04-15,52.15,2024-04-15,51.21,1.8355789884788083,9.295059558679942,27.515923566878985,False,-5.1818,5.8969,1,1,1,100.0,10.568741603224376,10.568741603224376,8.164421011521192,1.8355789884788083,历史1/1次成功; 当前距低点1.84%; 最新日涨幅-5.18%; 状态bottom_area; 底部未确认
37,74.99230313316271,70.81263077981737,002156,通富微电,bottom_area,2024-04-15,20.5,2024-04-15,20.1,1.9900497512437738,5.721393034825863,27.173913043478258,False,-3.9363,4.6008,3,4,3,75.0,16.585721573404154,21.92170818505337,8.009950248756228,1.9900497512437738,历史3/4次成功; 当前距低点1.99%; 最新日涨幅-3.94%; 状态bottom_area; 底部未确认
38,74.58561502780134,71.11651665441525,688282,理工导航,confirmed_rebound,2024-04-15,20.91,2024-04-15,20.4,2.500000000000008,12.745098039215694,28.9198606271777,False,-8.5702,4.2943,2,2,2,100.0,13.852240077501396,17.645625152327572,7.499999999999993,2.500000000000008,历史2/2次成功; 当前距低点2.50%; 最新日涨幅-8.57%; 状态confirmed_rebound; 底部未确认
39,74.48474870329476,72.75500183569476,600198,大唐电信,bottom_area,2024-04-15,5.51,2024-04-15,5.31,3.766478342749533,7.344632768361594,29.010695187165787,False,-3.6713,1.8456,2,2,2,100.0,27.97081966217037,43.60189573459716,6.233521657250467,3.766478342749533,历史2/2次成功; 当前距低点3.77%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
40,74.16527875321026,70.17583083583084,002217,合力泰,bottom_area,2024-04-15,1.46,2024-04-15,1.43,2.0979020979020997,9.790209790209799,30.24390243902439,False,-8.1761,4.4207,1,1,1,100.0,10.31746031746031,10.31746031746031,7.902097902097902,2.0979020979020997,历史1/1次成功; 当前距低点2.10%; 最新日涨幅-8.18%; 状态bottom_area; 底部未确认
41,74.10130097432051,70.2706619989277,000892,欢瑞世纪,bottom_area,2024-04-15,2.77,2024-04-15,2.71,2.214022140221404,8.856088560885617,29.05759162303665,False,-6.734,2.8885,1,1,1,100.0,12.250712250712256,12.250712250712256,7.785977859778597,2.214022140221404,历史1/1次成功; 当前距低点2.21%; 最新日涨幅-6.73%; 状态bottom_area; 底部未确认
42,74.07402644364225,71.03367461200021,300423,昇辉科技,confirmed_rebound,2024-04-15,5.14,2024-04-15,5.0,2.7999999999999936,13.000000000000005,29.971988795518207,False,-8.2143,5.6489,2,2,2,100.0,17.084272107527923,23.28482328482329,7.200000000000006,2.7999999999999936,历史2/2次成功; 当前距低点2.80%; 最新日涨幅-8.21%; 状态confirmed_rebound; 底部未确认
43,74.0005901043756,71.48671248898727,300645,正元智慧,bottom_area,2024-04-15,13.28,2024-04-15,12.87,3.1857031857031872,9.55710955710956,28.060368921185024,False,-5.4131,3.9766,1,1,1,100.0,30.699547055863096,30.699547055863096,6.814296814296814,3.1857031857031872,历史1/1次成功; 当前距低点3.19%; 最新日涨幅-5.41%; 状态bottom_area; 底部未确认
44,73.95387900764062,70.58680717130811,688238,和元生物,confirmed_rebound,2024-04-15,5.22,2024-04-15,5.09,2.5540275049115895,10.216110019646376,29.108635097493035,False,-6.4516,2.302,2,2,2,100.0,11.666612271540478,11.958224543080954,7.445972495088411,2.5540275049115895,历史2/2次成功; 当前距低点2.55%; 最新日涨幅-6.45%; 状态confirmed_rebound; 底部未确认
45,73.61770072992702,66.92518248175183,603023,威帝股份,bottom_area,2024-04-15,2.99,2024-04-15,2.99,0.0,4.682274247491628,28.809523809523807,False,-9.9398,4.3783,1,1,1,100.0,19.22141119221411,19.22141119221411,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.94%; 状态bottom_area; 底部未确认
46,73.49364487359209,70.10339855025983,603138,海量数据,bottom_area,2024-04-15,12.2,2024-04-15,11.9,2.5210084033613356,7.394957983193269,27.439024390243894,False,-5.1322,2.4347,1,1,1,100.0,15.114503816793897,15.114503816793897,7.478991596638665,2.5210084033613356,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-5.13%; 状态bottom_area; 底部未确认
